,earnings,gender,age,region,education,degree
1,20.67307663,male,31,South,14,highschool
2,24.27884674,male,50,South,12,highschool
3,10.14957237,male,36,South,12,highschool
4,8.894230843,female,33,South,10,highschool
5,6.410256386,female,56,South,10,highschool
6,16.66666603,female,52,South,12,highschool
7,34.61538315,male,30,West,16,highschool
8,11.05769253,male,41,South,12,highschool
9,19.23077011,male,37,South,13,highschool
10,12.01923084,female,44,South,13,highschool
11,10.20408154,female,47,South,8,highschool
12,10.09615421,female,53,South,11,highschool
13,16.34615326,male,55,South,12,highschool
14,45.78754425,female,59,Northeast,19,highschool
15,19.23077011,female,30,Northeast,16,highschool
16,31.73077011,male,46,Northeast,16,highschool
17,16.70040512,female,46,Northeast,12,highschool
18,27.88461494,female,48,Northeast,16,highschool
19,17.30769157,male,46,Northeast,14,highschool
20,10,female,52,Northeast,12,highschool
21,22.11538506,female,36,Northeast,13,highschool
22,33.65384674,female,48,Northeast,12,highschool
23,32.69230652,male,37,Northeast,12,highschool
24,35.7142868,female,41,Northeast,18,highschool
25,11.53846169,female,56,Northeast,12,highschool
26,24.03846169,female,41,Northeast,13,highschool
27,12.59615421,male,53,Northeast,14,highschool
28,16.92307663,female,49,Northeast,16,highschool
29,21.63461494,male,45,Northeast,13,highschool
30,19.23077011,male,36,Northeast,12,highschool
31,3.605769157,female,23,Northeast,13,highschool
32,33.65384674,male,46,Northeast,18,highschool
33,30.28846169,male,41,Northeast,16,highschool
34,10.81730747,male,23,Northeast,12,highschool
35,24.03846169,male,23,Northeast,12,highschool
36,29.80769157,male,46,South,12,highschool
37,10.8805666,female,56,South,13,highschool
38,26.44230843,male,58,South,12,highschool
39,30.21977997,female,45,South,12,highschool
40,4.39560461,female,21,South,13,highschool
41,15.68825912,female,43,South,14,highschool
42,24.29149818,female,54,South,12,highschool
43,25,male,38,South,13,highschool
44,50.48077011,male,42,South,16,highschool
45,17.30769157,female,41,South,18,bachelor
46,47.59615326,male,40,South,20,bachelor
47,14.42307663,female,41,South,16,highschool
48,13.73626328,female,30,Midwest,12,highschool
49,14.42307663,female,61,South,13,highschool
50,14.42307663,male,45,South,12,highschool
51,30.28846169,male,44,South,12,highschool
52,19.23077011,female,55,South,16,highschool
53,16.82692337,female,62,South,18,highschool
54,15.38461494,female,48,South,12,highschool
55,2.884615421,male,62,South,14,highschool
56,13.94230747,female,30,South,13,highschool
57,32.21154022,female,61,South,12,highschool
58,12.30769253,male,23,Midwest,16,highschool
59,19.23077011,male,25,Northeast,16,highschool
60,28.22115326,male,24,Northeast,16,highschool
61,45.67307663,male,42,South,18,highschool
62,16.82692337,female,28,South,18,highschool
63,38.46154022,female,32,South,16,highschool
64,29.9145298,female,41,South,19,bachelor
65,33.65384674,male,33,South,16,highschool
66,33.21678162,male,42,South,16,highschool
67,34.61538315,male,32,Northeast,19,bachelor
68,49.03845978,female,42,South,20,bachelor
69,45.38461685,male,40,South,20,bachelor
70,34.13461685,female,63,South,16,highschool
71,14.42307663,male,50,South,12,highschool
72,14.42307663,female,59,South,12,highschool
73,38.46154022,male,58,South,16,highschool
74,13.07692337,male,43,South,12,highschool
75,42.73504257,male,57,South,16,highschool
76,21.63461494,female,55,South,16,highschool
77,12.82051277,female,34,South,18,highschool
78,13.98601437,male,58,South,16,highschool
79,40.4858284,female,55,South,12,highschool
80,6.25,female,59,South,12,highschool
81,8.653845787,male,26,South,13,highschool
82,12.98076916,female,55,South,13,highschool
83,13.46153831,male,28,South,14,highschool
84,18.75,male,32,South,13,highschool
85,48.07692337,male,56,South,16,highschool
86,39.42307663,male,42,South,12,highschool
87,2.5,female,47,South,12,highschool
88,3.205128193,female,45,South,13,highschool
89,11.11111069,male,41,South,12,highschool
90,14.42307663,female,59,South,13,highschool
91,10,male,62,South,12,highschool
92,10.57692337,female,49,South,12,highschool
93,23.07692337,male,45,South,12,highschool
94,11.53846169,male,39,South,12,highschool
95,9.615385056,male,32,South,12,highschool
96,42.73504257,male,46,South,12,highschool
97,27.77777863,male,42,South,13,highschool
98,8.520709991,female,50,South,16,highschool
99,7.384615421,female,28,South,13,highschool
100,19.23077011,male,30,South,12,highschool
101,9.134614944,female,27,South,12,highschool
102,15,male,41,South,14,highschool
103,9.615385056,male,49,South,6,highschool
104,19.23077011,female,32,South,16,highschool
105,23.07692337,female,31,South,16,highschool
106,16.02564049,female,36,South,16,highschool
107,5.769230843,female,56,South,12,highschool
108,13.46153831,male,26,South,12,highschool
109,16.48351669,male,53,South,13,highschool
110,16.48351669,female,53,South,14,highschool
111,10.89743614,male,49,Northeast,12,highschool
112,19.61538506,female,47,South,16,highschool
113,15.86538506,male,48,South,12,highschool
114,18.07692337,male,38,South,12,highschool
115,13.73626328,female,38,South,12,highschool
116,11.53846169,male,27,Northeast,13,highschool
117,10.09615421,male,22,Northeast,11,highschool
118,5.769230843,male,53,South,12,highschool
119,7.307692528,female,59,South,12,highschool
120,5.769230843,male,22,South,13,highschool
121,10.57692337,male,45,South,12,highschool
122,8.012820244,female,50,South,12,highschool
123,6.263736248,female,46,South,12,highschool
124,32.69230652,female,49,South,16,highschool
125,9.134614944,male,49,South,14,highschool
126,5.06072855,male,38,South,18,highschool
127,26.44230843,female,44,South,18,highschool
128,9.615385056,female,58,South,14,highschool
129,24.03846169,male,36,South,16,highschool
130,29.20000076,male,51,South,18,highschool
131,11.53846169,female,49,South,12,highschool
132,9.214743614,female,44,South,13,highschool
133,9.615385056,female,45,South,12,highschool
134,16.02564049,male,46,South,12,highschool
135,20.5128212,male,44,South,13,highschool
136,14.42307663,male,40,South,11,highschool
137,39.71571732,male,47,South,13,highschool
138,6.410256386,female,53,South,14,highschool
139,24.03846169,female,57,West,13,highschool
140,10.16483498,female,50,South,16,highschool
141,22.43589783,male,50,South,12,highschool
142,35.40209961,female,51,South,16,highschool
143,13.16239357,female,39,South,12,highschool
144,18.88162613,male,52,South,12,highschool
145,15.38461494,female,33,South,16,highschool
146,18.62980843,female,56,South,12,highschool
147,9.615385056,female,33,South,12,highschool
148,26.15384674,male,29,South,16,highschool
149,17.4418602,female,28,South,16,highschool
150,8.413461685,female,31,South,12,highschool
151,8.17307663,male,24,South,12,highschool
152,23.07692337,male,24,South,10,highschool
153,8.125,male,34,South,12,highschool
154,26.44230843,male,29,South,16,highschool
155,29.80769157,male,44,South,16,highschool
156,17.30769157,male,41,South,14,highschool
157,14.10256386,male,33,South,13,highschool
158,20.67307663,male,56,South,12,highschool
159,12.01923084,female,39,South,10,highschool
160,38.46154022,male,39,South,12,highschool
161,6.578947544,female,52,South,10,highschool
162,6.221719265,female,30,South,12,highschool
163,8.653845787,female,52,South,12,highschool
164,24.03846169,male,29,South,14,highschool
165,12.98076916,female,57,South,12,highschool
166,15.38461494,male,53,South,12,highschool
167,15.81196594,male,33,South,14,highschool
168,17.09401703,female,33,South,13,highschool
169,9.61490345,male,62,South,10,highschool
170,14.90384579,male,55,South,12,highschool
171,15,female,61,South,13,highschool
172,18.07692337,female,51,Midwest,16,highschool
173,29.61538506,male,37,South,16,highschool
174,25,male,45,Midwest,16,highschool
175,4.945055008,female,42,Midwest,14,highschool
176,12.01923084,female,56,Midwest,16,highschool
177,25.64102554,male,60,Midwest,13,highschool
178,19.23077011,male,41,South,12,highschool
179,16.82692337,female,41,South,13,highschool
180,3.846153736,female,54,South,11,highschool
181,14.10256386,female,34,South,18,highschool
182,12.69230747,male,53,South,13,highschool
